lab ID,age,error,depth,cc
W2014-01,1090,35,0,2
W2014-02,1160,30,1,2
W2014-03,1250,30,10,2
W2014-04,1545,45,20.5,2
W2014-05,1670,40,40,2
W2014-06,1835,35,60,2
W2014-07,2045,35,80.5,2
W2014-08,2405,40,102.5,2
W2014-09,2585,35,122,2
W2014-10,2695,35,139.5,2
W2014-11,2820,45,154,2
W2014-12,3120,45,167,2
W2014-13,3025,40,175,2
W2014-14,6510,35,190,2
W2014-15,7450,40,210,2
W2014-16,8050,35,230,2
W2014-17,8330,40,250,2
W2014-18,8815,40,270,2
W2014-19,9285,40,290,2
W2010-01,9790,40,308,2
W2010-02,9965,35,318,2
W2010-03,10215,35,329.5,2
W2010-04,10500,45,337.5,2
W2010-05,10470,40,342,2
W2010-06,10660,45,348,2
W2010-07,10850,40,357,2
W2010-08,10925,40,367,2
W2010-09,11170,60,378,2
W2010-10,11375,40,386.5,2
W2010-11,11575,50,389.5,2
W2010-12,11855,40,397.5,2
W2010-13,12085,40,407,2
W2010-14,12515,40,418.5,2
W2010-15,12590,40,427.5,2
W2010-16,12910,60,435,2
W2010-17,12785,45,441,2
W2010-18,12800,40,455,2
W2010-19,12980,40,466,2
W2010-20,12805,40,475,2
W2010-21,13100,60,485,2
W2010-22,13145,50,495,2
W2010-23,13330,60,505,2
W2010-24,13610,80,515,2
W2010-25,13805,45,525,2
W2010-26,13860,50,535,2
W2010-27,14160,60,545,2
W2010-28,14160,70,554,2
W2010-29,14310,60,564,2
W2010-30,14470,60,565,2
W2010-31,14480,70,574,2
W2010-32,14870,100,595,2
W2010-33,15140,70,604,2
W2010-34,15460,80,614,2
W2010-35,16345,50,650,2
B2011-01,16450,60,681,2
B2011-02,16500,50,700,2
B2011-03,17470,60,725,2
B2011-04,18480,60,750,2
B2011-05,18480,70,775,2
B2011-06,18790,70,803,2
B2011-07,19380,70,825,2
B2011-08,19710,70,851,2
B2011-09,19750,70,871,2
B2011-10,20340,60,903,2
B2011-11,19290,70,908,2
