Age [yr BP],T anomaly mean [K]
10000,-1.74215069412278
10050,-1.56264680351357
10100,-1.80902117739626
10150,-2.36162692581323
10200,-2.62277683355238
10250,-3.07745911042947
10300,-3.44157639531032
10350,-3.40830132481288
10400,-3.34385509856366
10450,-4.06369741890723
10500,-3.89093404423486
10550,-4.07216661172603
10600,-4.32574727579086
10650,-4.63686645930418
10700,-4.32460044835447
10750,-4.63819881509032
10800,-4.69087261043826
10850,-5.0513955623644
10900,-5.42917313688137
10950,-6.00097550145854
11000,-6.46423554854337
11050,-5.74436276498391
11100,-6.16270473165809
11150,-6.34926803609131
11200,-6.45827077255268
11250,-7.45289130161587
11300,-6.39834192277326
11350,-6.51005433007493
11400,-7.21553771909386
11450,-9.20362068135296
11500,-9.53254829947456
11550,-8.04597722177721
11600,-6.81856702308645
11650,-5.82655164680698
11700,-7.62529644277605
11750,-11.2432747202859
11800,-14.8343657573517
11850,-15.2803344942598
11900,-14.8862984590756
11950,-16.1348297296154
12000,-15.3037955628912
12050,-15.3848610349453
12100,-15.3594351757729
12150,-15.7939283080618
12200,-16.9951387451073
12250,-15.8837906613751
12300,-16.1595507542342
12350,-16.6914651898454
12400,-17.5910267468523
12450,-16.5803726645397
12500,-16.3037565015377
12550,-17.3102474121484
12600,-17.2540226654524
12650,-18.2443794623869
12700,-17.0813902192357
12750,-17.8138278518196
12800,-17.024187714919
12850,-14.5842610273916
12900,-12.5322043622325
12950,-11.0069717831258
13000,-9.84266370405515
13050,-10.6584027369217
13100,-12.2542235716777
13150,-13.840704273905
13200,-14.8108819515443
13250,-14.5364377413831
13300,-13.0102773276119
13350,-11.3526297471995
13400,-9.86109937153146
13450,-9.94901710927052
13500,-9.95933317545518
13550,-9.28537564521613
13600,-9.15989311636702
13650,-11.1567031069888
13700,-11.6549224801776
13750,-10.3092281331004
13800,-10.3391248590861
13850,-10.4848749688317
13900,-10.0412385221319
13950,-10.1861779815366
14000,-10.3145674405337
14050,-11.3777882434719
14100,-12.6671847349789
14150,-9.35620064280837
14200,-9.86978917064073
14250,-8.23992581752286
14300,-7.72916730227843
14350,-7.04127271849249
14400,-7.25464345549183
14450,-6.33628067616722
14500,-6.05945454290725
14550,-4.65245680604561
14600,-4.79929249665218
14650,-5.33219716284232
14700,-7.71434347405139
14750,-13.0859657483603
14800,-15.4263065849632
14850,-14.5498176225893
14900,-15.6519946059428
14950,-15.2107698567677
15000,-15.257104997236
15050,-16.5115895387651
15100,-16.7204907864045
15150,-16.5620407608655
15200,-15.2540967503137
15250,-15.2350101900962
15300,-16.3692592461984
15350,-16.4493197503345
15400,-16.2579052743545
15450,-16.9206768393842
15500,-17.8949052624969
15550,-17.3375916968849
15600,-18.3087698488629
15650,-17.8775249092946
15700,-17.3161521341741
15750,-17.816535280702
15800,-18.313667568236
15850,-17.2356684016259
15900,-16.2323536133669
15950,-17.5301063377094
16000,-17.4921482687464
16050,-17.2838181780379
16100,-17.3846892822489
16150,-19.5295803410919
16200,-18.563821300636
16250,-17.1287616360708
16300,-17.6606076099753
16350,-16.7114870982059
16400,-17.3581419381066
16450,-17.7614652695957
16500,-17.1122213562039
16550,-16.7117269941822
16600,-15.2437787300813
16650,-15.2575270728868
16700,-16.0811277336529
16750,-17.3830721819858
16800,-16.829437163756
16850,-16.0364078344831
16900,-16.1504746304661
16950,-17.7672861645351
17000,-18.8111095676533
17050,-17.484404094808
17100,-17.3894040954839
17150,-16.4614014428282
17200,-17.6568004029571
17250,-17.9235202557911
17300,-18.0037371962297
17350,-18.073744095448
17400,-17.3013831415916
17450,-18.8844928076157
17500,-18.6365051720661
17550,-17.5857163784047
17600,-17.9485222232272
17650,-18.3847753653762
17700,-16.537461286737
17750,-18.0277996981394
17800,-17.2103372395248
17850,-16.6893653074585
17900,-17.7598756977955
17950,-16.8247434508163
18000,-18.7454652325174
18050,-17.8399654500327
18100,-18.0701019740082
18150,-18.3543723616698
18200,-17.5948214601889
18250,-18.0242729188271
18300,-18.4921119436283
18350,-17.9186459913508
18400,-19.0861713441554
18450,-17.9773240675981
18500,-17.6180365400132
18550,-17.7081541426204
18600,-18.5844563112307
18650,-18.9506825712895
18700,-17.0232369650215
18750,-18.3012020170772
18800,-18.2307559014942
18850,-17.7384187446818
18900,-17.9827553638104
18950,-17.9499613030431
19000,-16.7947079064574
19050,-17.5666324818459
19100,-17.2001983084798
19150,-17.6937262539257
19200,-17.6087911382071
19250,-17.6966461383671
19300,-18.202950842387
19350,-17.1238238339184
19400,-16.790233232441
19450,-18.1127350112961
19500,-17.2040641611872
19550,-17.9413384064517
19600,-17.8158964692037
19650,-16.3790133896604
19700,-17.5461685209985
19750,-17.2260705013403
19800,-17.8450549115529
19850,-18.5435169657946
19900,-16.2624107019916
19950,-16.9411451299459
20000,-18.2460292380591
